name,Orientation,WWR,shading_A,shading_B,shading_C,Wall,Glass,SHGC,CoP,RH,Temperature,DPT,Room,Lighting,Heating,Cooling,DHW,Total
Shenzhen,0,20,0,0,0,1.332,1.771,0.568,3.5,0,28,15,13886.63,19588.07,82.93,20297.45,19232.34,73087.42
Shenzhen,0,20,0,0,0,1.332,1.771,0.568,3.5,0,28,16,13886.63,19588.07,82.93,19946.46,19232.34,72736.43
Shenzhen,0,20,0,0,0,1.332,1.771,0.568,3.5,0,28,17,13886.63,19588.07,82.93,19499.31,19232.34,72289.28
Shenzhen,0,20,0,0,0,1.332,1.771,0.568,3.5,0,28,18,13886.63,19588.07,82.93,19054.51,19232.34,71844.48
Shenzhen,0,20,0,0,0,1.332,1.771,0.568,3.5,0,28,19,13886.63,19588.07,82.93,18560.31,19232.34,71350.28
Shenzhen,0,20,0,0,0,1.332,1.771,0.568,3.5,0,28,20,13886.63,19588.07,82.93,17834.08,19232.34,70624.05
Shenzhen,0,20,0,0,0,1.332,1.771,0.568,3.5,0,28,21,13886.63,19588.07,82.93,16813.14,19232.34,69603.11
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,74.47,20009.13,19232.34,72790.64
Shenzhen,90,17,0,0,0,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,91.49,18295.06,19232.34,71093.59
Shenzhen,90,14,0,0,0,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,108.35,16847.04,19232.34,69662.43
Shenzhen,90,11,0,0,0,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,129.13,15392.3,19232.34,68228.47
Shenzhen,90,8,0,0,0,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,153.55,13984.2,19232.34,66844.79
Shenzhen,90,20,0.74,0,0,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,89.29,18970.66,19232.34,71766.99
Shenzhen,90,20,0.81,0,0,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,92.59,18697.04,19232.34,71496.67
Shenzhen,90,20,1.22,0,0,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,100.53,18342.04,19232.34,71149.61
Shenzhen,90,20,0.74,0.74,0,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,87.33,18719.67,19232.34,71514.04
Shenzhen,90,20,0.81,0.81,0,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,88.72,18638.47,19232.34,71434.23
Shenzhen,90,20,1.22,1.22,0,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,99.33,17907,19232.34,70713.37
Shenzhen,90,20,0.74,0,0.74,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,85.98,19016,19232.34,71809.02
Shenzhen,90,20,0.81,0,0.81,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,88.14,18827.59,19232.34,71622.77
Shenzhen,90,20,1.22,0,1.22,1.332,1.771,0.568,3.5,0,0,0,13886.63,19588.07,92.38,17789.44,19232.34,70588.86
Shenzhen,90,20,0,0,0,0.698,1.771,0.568,3.5,0,0,0,13886.63,19588.07,5.38,21363.43,19232.34,74075.85
Shenzhen,90,20,0,0,0,0.935,1.771,0.568,3.5,0,0,0,13886.63,19588.07,20.24,20767.68,19232.34,73494.96
Shenzhen,90,20,0,0,0,2.128,1.771,0.568,3.5,0,0,0,13886.63,19588.07,245.51,19105.16,19232.34,72057.71
Shenzhen,90,20,0,0,0,3.704,1.771,0.568,3.5,0,0,0,13886.63,19588.07,734.54,18414.47,19232.34,71856.05
Shenzhen,90,20,0,0,0,1.332,5.778,0.568,3.5,0,0,0,13886.63,19588.07,361.25,21465.68,19232.34,74533.97
Shenzhen,90,20,0,0,0,1.332,1.795,0.568,3.5,0,0,0,13886.63,19588.07,70.24,20497.43,19232.34,73274.71
Shenzhen,90,20,0,0,0,1.332,1.493,0.568,3.5,0,0,0,13886.63,19588.07,47.7,20555.38,19232.34,73310.12
Shenzhen,90,20,0,0,0,1.332,1.771,0.447,3.5,0,0,0,13886.63,19588.07,105.82,17651.63,19232.34,70464.49
Shenzhen,90,20,0,0,0,1.332,1.771,0.325,3.5,0,0,0,13886.63,19588.07,141.72,15370.99,19232.34,68219.75
Shenzhen,90,20,0,0,0,1.332,1.771,0.204,3.5,0,0,0,13886.63,19588.07,202.18,13200.4,19232.34,66109.62
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,85,0,0,13886.63,19588.07,74.47,18474.57,19232.34,71256.08
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,85,0,0,13886.63,19588.07,74.47,18116.55,19232.34,70898.06
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,85,0,0,13886.63,19588.07,74.47,17664.51,19232.34,70446.02
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,85,0,0,13886.63,19588.07,74.47,17102.53,19232.34,69884.04
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,85,0,0,13886.63,19588.07,74.47,16353.08,19232.34,69134.59
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,85,0,0,13886.63,19588.07,74.47,15170.19,19232.34,67951.7
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,85,0,0,13886.63,19588.07,74.47,13502.11,19232.34,66283.62
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,80,0,0,13886.63,19588.07,74.47,18728.34,19232.34,71509.85
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,80,0,0,13886.63,19588.07,74.47,18395.3,19232.34,71176.81
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,80,0,0,13886.63,19588.07,74.47,18055.55,19232.34,70837.06
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,80,0,0,13886.63,19588.07,74.47,17704.85,19232.34,70486.36
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,80,0,0,13886.63,19588.07,74.47,17205.48,19232.34,69986.99
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,80,0,0,13886.63,19588.07,74.47,16536.55,19232.34,69318.06
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,80,0,0,13886.63,19588.07,74.47,15651.02,19232.34,68432.53
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,26,15,13886.63,19588.07,74.47,18595.36,19232.34,71376.87
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,26,16,13886.63,19588.07,74.47,18249.28,19232.34,71030.79
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,26,17,13886.63,19588.07,74.47,17828.77,19232.34,70610.28
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,26,18,13886.63,19588.07,74.47,17490.56,19232.34,70272.07
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,26,19,13886.63,19588.07,74.47,17113.6,19232.34,69895.11
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,26,20,13886.63,19588.07,74.47,16588.56,19232.34,69370.07
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,26,21,13886.63,19588.07,74.47,15878.4,19232.34,68659.91
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,28,15,13886.63,19588.07,74.47,18558.5,19232.34,71340.01
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,28,16,13886.63,19588.07,74.47,18192.04,19232.34,70973.55
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,28,17,13886.63,19588.07,74.47,17746.08,19232.34,70527.59
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,28,18,13886.63,19588.07,74.47,17316.25,19232.34,70097.76
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,28,19,13886.63,19588.07,74.47,16845.41,19232.34,69626.92
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,28,20,13886.63,19588.07,74.47,16176.85,19232.34,68958.36
Shenzhen,90,20,0,0,0,1.332,1.771,0.568,3.5,0,28,21,13886.63,19588.07,74.47,15228.49,19232.34,68010
Shenzhen,0,17,0.74,0.74,0.74,1.332,1.771,0.325,3.5,80,26,0,13886.63,9104.06,246.94,13100.37,19232.34,55570.34
Shenzhen,0,20,0,0,0,1.332,1.771,0.204,3.5,80,26,0,13886.63,9046.72,298.43,11045.67,19232.34,53509.79
Shenzhen,0,17,0.74,0.74,0.74,1.332,1.771,0.325,5,80,26,0,13886.63,9104.06,172.86,9170.26,19232.34,51566.15
Shenzhen,0,20,0,0,0,1.332,1.771,0.204,5,80,26,0,13886.63,9046.72,208.9,7731.97,19232.34,50106.56
Shenzhen,90,17,0.74,0.74,0.74,1.332,1.771,0.325,3.5,80,26,0,13886.63,9236.18,251,11069.83,19232.34,53675.98
Shenzhen,90,20,0,0,0,1.332,1.771,0.204,3.5,80,26,0,13886.63,9250.28,298.29,10380.04,19232.34,53047.58
Shenzhen,90,17,0.74,0.74,0.74,1.332,1.771,0.325,5,80,26,0,13886.63,9236.18,175.7,7748.88,19232.34,50279.73
Shenzhen,90,20,0,0,0,1.332,1.771,0.204,5,80,26,0,13886.63,9250.28,208.8,7266.03,19232.34,49844.08
