date,Shenzhen
20120723,16.24166667
20120724,21.04166667
20120725,22.1375
20120726,22.675
20120727,23.4375
20120728,22.88333333
20120729,23.94166667
20120730,25.625
20120731,23.625
20120801,22.82916667
20120802,22.13333333
20120803,22.3625
20120804,23.3
20120805,24.2125
20120806,24.37083333
20120807,24.4875
20120808,19.9
20120809,19.91666667
20120810,21.50833333
20120811,22.07083333
20120812,21.17916667
20120813,21.325
20120814,22.89583333
20120815,22.4125
20120816,20.19166667
20120817,19.97916667
20120818,20.21666667
20120819,20.9375
20120820,21.675
20120821,23.69583333
20120822,24.49166667
20120823,19.35416667
20120824,17.27916667
20120825,20.5625
20120826,22.24583333
20120827,22.90833333
20120828,17.575
20120829,17.52083333
20120830,19.14166667
20120831,19.41666667
20120901,19.675
20120902,19.08333333
20120903,17.4625
20120904,17.6875
20120905,15.8625
20120906,16.43333333
20120907,15.69166667
20120908,15.83333333
20120909,15.84166667
20120910,15.66666667
20120911,16.3875
20120912,13.25416667
20120913,15.25833333
20120914,17.07083333
20120915,18.74166667
20120916,20.1875
20120917,18.3875
20120918,20.775
20120919,22.32916667
20120920,22.37083333
20120921,21.425
20120922,17.1125
20120923,19.09166667
20120924,19.3
20120925,18.69166667
20120926,19.05833333
20120927,19.10833333
20120928,16.49166667
20120929,15.28333333
20120930,
